sha,fingerprint,distribution_method,transport,ip,blocklist,distributed,state,bandwidth,ratio
29cb100fbdc5f00d320d4ed1a67d51889c9b02c7d2c1f48e16d2978c2c412e31,0004f8aea55fe852194674c8554d68cc5e7a5bba,email,vanilla,"4,6",,true,functional,untested,
959967e11dbf1aefa32e2bbc60503b8912abc535c39bc37359c7cdd6dd78082b,0009fd594d4f125e3300826adade11964c925dd5,https,webtunnel,6,,true,functional,untested,
d6e76a4d18fdd12431bf90ce549421fa615012d07fb62c63bedb8fbcb42df6c6,001b4642a32171ac0360dc0c1fa2f1ae130ee99f,settings,vanilla,4,,false,dysfunctional,untested,
a04a6840cf77df81d17bf48c7e0cc6bdfb0f568498b096c5d498d6be40bdf915,00382ab470bc22674984bea11b740c553496a5e3,settings,obfs4,4,,true,functional,untested,
64a0c034b8a0a56c85441f06d7790682bbfb91f1487b0dcc5a24fe905e28e1af,0082e9f98381722fe14fae3248548f98ec485780,reserved,vanilla,"4,6",,false,untested,untested,
a4b5875abb6ef5fc7e3bf9ab5da1b64177be58a4c0017246ff1bd23a384955cd,009cda476053b5df4441211cb25f9b2190bb0128,settings,obfs4,4,,true,functional,untested,
56add0e4772a02a72a7f4ca710bdb045a000f8266d112d969cfa88a98fe47264,00b6545499d9aeaebd6e0e228b92e557d640eb75,email,obfs4,4,,true,functional,untested,
1708981e86e571752c6abe298be0d7e3c137cbdd814e089e2d88a85a55989ca6,00e1ae6cb75e47e363e6aef9f67a49c0e854fde7,https,obfs4,6,,true,functional,accepted,1.49
d368ec4fe30fa490a55c0cdf0ed8b56706ee84efc322900ede1cd236ad8c6433,00f61a4a92bc38221b3a509fbe260fed2dbfb20b,https,vanilla,4,,false,dysfunctional,untested,
84101ca96fbb04a6002970abb63c0d0891926463f52df2ad96d2dd5898873b3c,01211ae573a28fff727c837ba8f4d7e9e667c74d,settings,webtunnel,6,,false,dysfunctional,untested,
d753b8bbb1ae14808536be42345b3d3b28e4b9c33815d2f02c1f04d1993b78dc,01360b087e3659600bdc8ea969610d83ebb055b4,settings,webtunnel,6,,true,functional,untested,
18a7c8656eb3c3319b8348f74fb98360887c8664d8ec977e99d2cf12ee2da38f,01471e73d4197d8e7f7d9014211138f4fa4e7de7,https,obfs4,6,,true,functional,untested,
bbcf57a18d685201cd5c8829c6abb5df4016672b91cb20b8b1252ff56ded130d,015564c3c036fd723a5751044568c7167774c316,email,vanilla,4,,true,functional,untested,
b1fdc82869702807d4879a2918f4987f8d6f10c8c983c55e76825f989d7415ed,018f98665c2092075c03ae0e01e2b911e4e79599,email,obfs4,4,,false,dysfunctional,untested,
49d1c399e280c8c300cf13bb03f7cc39afbd466968fc4b8e750f6412e7b71d67,01bf4279de9fc549ffd0fdf6ba39bff8ec63ce2b,settings,obfs4,4,,true,functional,untested,
7e716df3a0c671db962efeea5b6c4c6abc423ebefb3feb64095962c030410449,01c4f4c5dc312e0959eed76e520e899e8b971552,https,obfs4,4,,true,functional,rejected,0.898
c9f23057e0ce9babb593484163d86fe1f1c2425e6a42f0b44a7bdf8fd5c92271,01c6574d62a56f428fa649834d2bb21646f2a78e,moat,obfs4,6,,true,functional,accepted,1.579
ed2eef754d6437b3a7060ddc102dcc1a2f3deab52afd03275506be07bac2946d,01d7b24a1260a8fb41cb9a66a5ba108937a4a362,telegram,obfs4,4,,true,functional,accepted,1.471
52222b8e9e9f4945d11e04886f6cc3a05bc52e5b44690586282c38ae275403d8,01ff41dbc553407ca420683c57d7eb226eeaee57,https,obfs4,6,,false,dysfunctional,accepted,1.286
cc30ae9b4b5f39aa45faaa9211a93b4a29899906448daa0b3627db22d47b1f7d,020b4b26acb6fff00a4fb01f88d2e9118f3f08b2,settings,obfs4,4,,true,functional,untested,
